CustomerID,r_sca,f_sca,m_sca,prediction,RFMScore
13098,0.002680965147453083,0.16194331983805668,0.11610014425076905,0,111
13248,0.3324396782841823,0.004048582995951417,0.01675018011524204,2,333
13452,0.6943699731903485,0.004048582995951417,0.01718827112801564,1,433
13460,0.0777479892761394,0.004048582995951417,0.015755595113269537,0,234
13518,0.22788203753351208,0.0,0.017432970612627923,0,342
13638,0.040214477211796246,0.0,0.015541342108309476,0,144
13723,0.5817694369973191,0.0,0.015813422281220107,2,444
14117,0.38337801608579086,0.0,0.015426322074067756,2,344
14719,0.002680965147453083,0.020242914979757085,0.020719851333786624,0,112
15057,0.7372654155495979,0.004048582995951417,0.020358017476067886,1,432
15194,0.00804289544235925,0.08502024291497975,0.04161300797651955,0,111
15237,0.002680965147453083,0.012145748987854251,0.02008604302010049,0,122
15322,0.17158176943699732,0.004048582995951417,0.01723397608647505,0,333
15432,0.06166219839142091,0.0,0.015712427361447814,0,244
15437,0.7024128686327078,0.0,0.015814514689633553,1,444
15663,0.28418230563002683,0.0,0.01559596252898186,2,344
16597,0.010723860589812333,0.0,0.015426463029992073,0,144
16742,0.12332439678284182,0.004048582995951417,0.015109171244357136,0,234
17043,0.08579088471849866,0.012145748987854251,0.02122376876321572,0,221
17048,0.30831099195710454,0.020242914979757085,0.01815494685697361,2,312
17499,0.774798927613941,0.0,0.017304136897803253,1,443
17703,0.0938337801608579,0.008097165991902834,0.017923849619057804,0,232
17979,0.0938337801608579,0.016194331983805668,0.017709138507343715,0,222
18147,0.12064343163538874,0.004048582995951417,0.015741147131027165,0,234
18196,0.2546916890080429,0.004048582995951417,0.01753759514745135,2,332
12936,0.045576407506702415,0.016194331983805668,0.01867852763784476,0,222
12967,0.00804289544235925,0.012145748987854251,0.019319348508765606,0,122
13240,0.257372654155496,0.012145748987854251,0.01744780622366216,2,322
13299,0.7184986595174263,0.0,0.015611326724732285,1,444
13658,0.024128686327077747,0.024291497975708502,0.023642184795683505,0,111
14029,0.16890080428954424,0.004048582995951417,0.01675715743349567,0,333
14259,0.3780160857908847,0.0,0.01553203901730463,2,344
14805,0.040214477211796246,0.012145748987854251,0.017063701329901523,0,123
15221,0.9812332439678284,0.004048582995951417,0.015511248018468045,1,434
15758,0.064343163538874,0.0,0.015832451331002743,0,244
15921,0.46112600536193027,0.0,0.01629330672555335,2,443
16441,0.17962466487935658,0.004048582995951417,0.016452481203087004,0,333
16781,0.9785522788203753,0.004048582995951417,0.016147487821848622,1,433
17370,0.19302949061662197,0.012145748987854251,0.016681464102138072,0,323
17595,0.032171581769437,0.004048582995951417,0.016479227589725934,0,133
18117,0.06702412868632708,0.0,0.01623935584552147,0,243
13068,0.02680965147453083,0.004048582995951417,0.016321392193473283,0,133
13509,0.021447721179624665,0.024291497975708502,0.018561604698624782,0,112
13659,0.5281501340482574,0.008097165991902834,0.020574208624987288,2,432
13832,0.045576407506702415,0.004048582995951417,0.015253474871875469,0,234
14064,0.0777479892761394,0.024291497975708502,0.019296689843931836,0,212
14067,0.16890080428954424,0.004048582995951417,0.01642957586538568,0,333
14178,0.021447721179624665,0.024291497975708502,0.020821163404388627,0,111
14215,0.029490616621983913,0.024291497975708502,0.021374380168347182,0,111
14242,0.6273458445040214,0.004048582995951417,0.016097800858527297,1,434
14543,0.00804289544235925,0.08097165991902834,0.02538545718965954,0,111
14562,0.00804289544235925,0.08502024291497975,0.03170398269202205,0,111
15133,0.34048257372654156,0.008097165991902834,0.0185711192235161,2,332
15197,0.021447721179624665,0.016194331983805668,0.017422398918304233,0,122
15689,0.3190348525469169,0.004048582995951417,0.016004593753573455,2,334
15894,0.67828418230563,0.004048582995951417,0.016037894590693068,1,434
